sku,supplier,ai_major_category_he,ai_major_category_slug,ai_subcategory_he,ai_subcategory_slug,ai_confidence
1888,Comfort,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
KR9721,Kraus,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
OM2010,Kraus,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.95
2096,Comfort,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.86
1825,Comfort,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.75
KR2991,Kraus,ביגוד וטקסטיל,apparel-textiles,טקסטיל לבית ולחוף,home-beach-textiles,0.9
1813,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.85
KR1215,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.8
OM2061,Kraus,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.95
1864,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.9
1981,Comfort,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.75
KR7027,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.8
1810,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.85
1535,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.7
1134,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.95
KR3230,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.86
1412,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.9
KR9513,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
KR9241,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.9
KR298,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.75
KR6405,Kraus,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.9
KR545,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.85
KR9433,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.6
1988,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
SP993,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.9
1974,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.8
KR9137,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.85
1766,Comfort,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.7
2086,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.55
1841,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
KR2223,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.9
1608,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.85
KR543,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
KR670,Kraus,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
1685,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
2001,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.8
KR6706,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
KR915,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.75
1634,Comfort,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,0.3
KR9655,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,משחקים ורוגע,games-leisure,0.85
SW285,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
1785,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.75
KR6921,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,משחקים ורוגע,games-leisure,0.9
1893,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.8
KR6065,Kraus,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.9
888,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.9
1992,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.9
KR9197,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.9
KR9709,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
1300,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.7
1789,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.9
2101,Comfort,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.8
1738,Comfort,יודאיקה ומתנות,judaica-gifts,יודאיקה,judaica,0.9
690,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.6
1903,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.8
KR740,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.9
887,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.9
SW510,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
2097,Comfort,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.75
KR6438,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.7
2109,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.86
1365,Comfort,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.9
2055,Comfort,UNCLASSIFIED,unclassified,UNCLASSIFIED,unclassified,0.4
KR680,Kraus,כלי עבודה ושימוש,tools-utility,כלי עבודה ידניים,hand-tools,0.88
KR9603,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.92
KR1251,Kraus,יודאיקה ומתנות,judaica-gifts,יודאיקה,judaica,0.95
1724,Comfort,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.9
1791,Comfort,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
KR5351,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
2005,Comfort,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.75
KR6451,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.85
272,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.92
KR6938,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.85
1980,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.7
1617,Comfort,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.8
1926,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.9
GB710,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.9
1449,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
KR9319,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.9
1733,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.8
KR9716,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.85
KR674,Kraus,כלי עבודה ושימוש,tools-utility,כלי עבודה ידניים,hand-tools,0.9
1325,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.9
OM1500,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.7
KR2925,Kraus,ביגוד וטקסטיל,apparel-textiles,ביגוד,apparel,0.8
KR7111,Kraus,ביגוד וטקסטיל,apparel-textiles,ביגוד,apparel,0.9
1652,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.9
KR9129,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.9
1217,Comfort,כלי עבודה ושימוש,tools-utility,כלי עבודה ידניים,hand-tools,0.9
2012,Comfort,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,0.4
KR7150,Kraus,ביגוד וטקסטיל,apparel-textiles,ביגוד,apparel,0.9
KR7558,Kraus,ביגוד וטקסטיל,apparel-textiles,טקסטיל לבית ולחוף,home-beach-textiles,0.9
KR9451,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.9
1827,Comfort,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,0.3
1003,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.6
KR945,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.8
OM6135,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
OM6320,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
KR3220,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.95
SW284,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
KR255,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR4048,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.85
SW100,Kraus,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.95
1513,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR559,Kraus,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.95
KR8200,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.86
KR263,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.86
KR8059,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.8
1372,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR558,Kraus,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.86
KR240,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.86
KR201,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.8
KR9744,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.9
KR4021,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.8
1561,Comfort,כלי כתיבה ומ מוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
1750,Comfort,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,0.3
KR622,Kraus,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
KR8097,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.7
KR6450,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.8
SW283,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.86
KR6024,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
MI4029,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.9
KR8128,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.8
1978,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.7
SP997,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.8
1726,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.95
2018,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.95
SN250,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
OM6500,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
GB560,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.8
KR9361,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.95
SW554,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR7599,Kraus,ביגוד וטקסטיל,apparel-textiles,ביגוד,apparel,0.9
1930,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
1945,Comfort,כלי עבודה ושימוש,tools-utility,כלי עבודה ידניים,hand-tools,0.8
KR6707,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.95
KR9688,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.85
KR9438,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.9
KR6853,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.65
KR5053,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR6745,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
2113,Comfort,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.8
1557,Comfort,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR6959,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.9
KR3020,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.95
3029,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.9
KR688,Kraus,כלי עבודה ושימוש,tools-utility,כלי עבודה ידניים,hand-tools,0.9
OM2400,Kraus,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.95
3001,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.85
KR2605,Kraus,ביגוד וטקסטיל,apparel-textiles,ביגוד,apparel,0.95
2038,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.88
KR9710,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.95
OM2021,Kraus,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.95
1622,Comfort,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
KR6402,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
KR9850,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
KR2220,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
1583,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.8
KR6717,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
KR8129,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
2003,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.6
KR9459,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.9
1581,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.95
KR3958,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.9
KR2353,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.9
KR2110,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.9
KR8100,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
KR9250,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.92
KR9379,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
KR400,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.9
1675,Comfort,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,0.4
1563,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,אביזרים למחשב וסלולר,computer-mobile-accessories,0.9
1546,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.85
1363,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.82
KR274,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.9
KR6108,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.88
OM2290,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.9
KR6714,Kraus,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.88
KR222,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.9
KR9360,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.95
KR2008,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.8
KR9327,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.95
KR6432,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.8
KR9126,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.95
1415,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
GB500,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.6
1210,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR6119,Kraus,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
1654,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.95
1542,Comfort,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.9
KR5109,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
1899,Comfort,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.8
KR2385,Kraus,יודאיקה ומתנות,judaica-gifts,יודאיקה,judaica,0.95
KR9515,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
GB551,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
KR1137,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.86
SW555,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.92
KR1126,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.86
KR5017,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR6910,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.75
365,Comfort,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
KR575,Kraus,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.95
KR704,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.75
KR9100,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.95
2104,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.8
1592,Comfort,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.92
SW556,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR7541,Kraus,ביגוד וטקסטיל,apparel-textiles,ביגוד,apparel,0.8
1073,Comfort,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR2410,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.9
KR4031,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.86
1689,Comfort,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.9
KR444,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR9217,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.9
2116,Comfort,UNCLASSIFIED,unclassified,UNCLASSIFIED,unclassified,0.4
1615,Comfort,כלי עבודה ושימוש,tools-utility,כלי עבודה ידניים,hand-tools,0.9
1948,Comfort,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.9
KR2955,Kraus,ביגוד וטקסטיל,apparel-textiles,ביגוד,apparel,0.85
1247,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.8
KR5232,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR9131,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.9
OM6138,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
1205,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.8
1744,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR5555,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.9
KR9153,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.6
KR620,Kraus,כלי עבודה ושימוש,tools-utility,תאורה ופנסים,lighting-flashlights,0.95
KR6746,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.95
1706,Comfort,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.9
1669,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.6
KR9458,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.8
KR6122,Kraus,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
1709,Comfort,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.9
KR291,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.7
KR3042,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.9
1158,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.7
1260,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.6
KR744,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,משחקים ורוגע,games-leisure,0.95
KR294,Kraus,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
KR8069,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
KR9457,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.95
KR6730,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.95
KR5056,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR6918,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,משחקים ורוגע,games-leisure,0.9
KR9365,Kraus,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.9
MI4011,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.9
1875,Comfort,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,0.4
962,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.7
1312,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
SN151,Kraus,ביגוד וטקסטיל,apparel-textiles,ביגוד,apparel,0.9
KR3079,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.95
SP991,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.9
KR9727,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
2118,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.9
KR7533,Kraus,ביגוד וטקסטיל,apparel-textiles,טקסטיל לבית ולחוף,home-beach-textiles,0.95
681,Comfort,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
868,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.7
1410,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
OM2078,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
1955,Comfort,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.9
2025,Comfort,UNCLASSIFIED,unclassified,UNCLASSIFIED,unclassified,0.3
KR271,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR1214,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.75
KR4001,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.75
2045,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,שמע ורמקולים,audio-speakers,0.95
KR9871,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.75
3010,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.75
1767,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
OM2075,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR5903,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
KR2215,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.9
1570,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.7
KR7916,Kraus,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,0.3
KR451,Kraus,תיקים וארנקים,bags-travel,תיקי גב,backpacks,0.95
KR276,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.9
KR6716,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.9
